Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19623.32,235479.84,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,567,6804.00,USD,"Working days per month (22), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,438,5256.00,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 10), Enable disabled, Advance EC2 instance (t3.large), Pricing strategy (Compute Savings Plans 1yr No Upfront), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,426.03000000000003,5112.36,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Classic Load Balancer,0,427.85,5134.20,USD,"Number of Classic Load Balancers (1), Processed bytes per CLB (50 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,12893.759999999998,154725.12,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (29 TB), Quantity (1), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (40 TB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (Ohio),,VPN Connection,0,567,6804.00,USD,"Working days per month (22), Number of subnet associations (4)"
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),,Amazon EC2 ,0,43.8,525.60,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Snapshot Frequency (No snapshot storage), Enable disabled, Advance EC2 instance (t3.large), Pricing strategy (Compute Savings Plans 1 Year  None upfront)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,2183.1800000000003,26198.16,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (40 GB)"
My Estimate,US East (Ohio),,Application Load Balancer,0,426.03000000000003,5112.36,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),,Classic Load Balancer,0,427.85,5134.20,USD,"Number of Classic Load Balancers (1), Processed bytes per CLB (50 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
